Ticker,Company,Industry,Headquarter,Date added to SP500,Founded
TPR,Tapestry,Consumer Discretionary,New York,,2017
TRMB,Trimble,Information Technology,California,1/21/2021,1978
TROW,T. Rowe Price,Financials,Maryland,,1937
TRV,The Travelers Companies,Financials,New York,8/21/2002,1853
TSCO,Tractor Supply Company,Consumer Discretionary,Tennessee,1/24/2014,1938
TSLA,Tesla,Consumer Discretionary,California,12/21/2020,2003
TSN,Tyson Foods,Consumer Staples,Arkansas,8/10/2005,1935
TT,Trane Technologies,Industrials,Ireland,11/17/2010,1871
TTWO,Take-Two Interactive,Communication Services,New York,3/19/2018,1993
TWTR,Twitter,Communication Services,California,6/7/2018,2006
TXN,Texas Instruments,Information Technology,Texas,,1930
TXT,Textron,Industrials,Rhode Island,12/31/1978,1923
TYL,Tyler Technologies,Information Technology,Texas,6/22/2020,1966
UA,Under Armour (Class C),Consumer Discretionary,Maryland,4/8/2016,1996
UAA,Under Armour (Class A),Consumer Discretionary,Maryland,5/1/2014,1996
UAL,United Airlines,Industrials,Illinois,9/3/2015,1967
UDR,UDR,Real Estate,Colorado,3/7/2016,1972
UHS,Universal Health Services,Health Care,Pennsylvania,9/20/2014,1979
ULTA,Ulta Beauty,Consumer Discretionary,Illinois,4/18/2016,1990
UNH,UnitedHealth Group,Health Care,Minnesota,7/1/1994,1977
UNP,Union Pacific,Industrials,Nebraska,3/4/1957,1862
UPS,United Parcel Service,Industrials,Georgia,7/22/2002,1907
URI,United Rentals,Industrials,Connecticut,9/20/2014,1997
USB,U.S. Bancorp,Financials,Minnesota,,1968
V,Visa,Information Technology,California,12/21/2009,1958
VFC,VF Corporation,Consumer Discretionary,Colorado,6/30/1979,1899
VIAC,ViacomCBS,Communication Services,New York,,1952
VLO,Valero Energy,Energy,Texas,,1980
VMC,Vulcan Materials,Materials,Alabama,6/30/1999,1909
VNO,Vornado Realty Trust,Real Estate,New York,,1982
VRSK,Verisk Analytics,Industrials,New Jersey,10/8/2015,1971
VRSN,Verisign,Information Technology,Virginia,2/1/2006,1995
VRTX,Vertex Pharmaceuticals,Health Care,Massachusetts,9/23/2013,1989
VTR,Ventas,Real Estate,Illinois,3/4/2009,1998
VTRS,Viatris,Health Care,Pennsylvania,4/23/2004,1961
VZ,Verizon Communications,Communication Services,New York,11/30/1983,1877
WAB,Wabtec,Industrials,Pennsylvania,2/27/2019,1869
WAT,Waters Corporation,Health Care,Massachusetts,,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Illinois,12/31/1979,2014
WDC,Western Digital,Information Technology,California,7/1/2009,1970
WEC,WEC Energy Group,Utilities,Wisconsin,10/31/2008,1896
WELL,Welltower,Real Estate,Ohio,1/30/2009,1970
WFC,Wells Fargo,Financials,California,6/30/1976,1852
WHR,Whirlpool Corporation,Consumer Discretionary,Michigan,,1911
WLTW,Willis Towers Watson,Financials,England,1/5/2016,2016
WM,Waste Management,Industrials,Texas,,1968
WMB,Williams Companies,Energy,Oklahoma,3/31/1975,1908
WMT,Walmart,Consumer Staples,Arkansas,8/31/1982,1962
WRB,W. R. Berkley Corporation,Financials,Connecticut,12/5/2019,1967
WRK,WestRock,Materials,Georgia,,2015
WST,West Pharmaceutical Services,Health Care,Pennsylvania,5/22/2020,1923
WU,Western Union,Information Technology,Colorado,9/29/2006,1851
WY,Weyerhaeuser,Real Estate,Washington,,1900
WYNN,Wynn Resorts,Consumer Discretionary,Nevada,11/14/2008,2002
XEL,Xcel Energy,Utilities,Minnesota,3/4/1957,1909
XLNX,Xilinx,Information Technology,California,11/8/1999,1984
XOM,ExxonMobil,Energy,Texas,3/4/1957,1999
XRAY,Dentsply Sirona,Health Care,North Carolina,11/14/2008,1969
XYL,Xylem,Industrials,New York,11/1/2011,2011
YUM,Yum! Brands,Consumer Discretionary,Kentucky,10/6/1997,1997
ZBH,Zimmer Biomet,Health Care,Indiana,8/7/2001,1927
ZBRA,Zebra Technologies,Information Technology,Illinois,12/23/2019,1969
ZION,Zions Bancorp,Financials,Utah,6/22/2001,1873
ZTS,Zoetis,Health Care,New Jersey,6/21/2013,1952
